id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4KW1lqgSr8TKrvBII0Brf8,0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,113.088,135920,4
7rvyVWja33WG9R97oeJAjx,0.74,0.488,1,-7.664,0,0.27,0.234,0.0,0.241,0.584,149.042,120133,4
29TPjc8wxfz4XMn21O7VsZ,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,193234,4
2G1tXoGBaEMJ7FKGnkf6ud,0.8,0.578,4,-5.144,0,0.0485,0.00381,0.0,0.367,0.367,143.01,203161,4
1fewSx2d5KIZ04wsooEBOz,0.901,0.464,5,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004,203267,4
7fEoXCZTZFosUFvFQg1BmW,0.82,0.592,1,-7.002,1,0.29,0.0149,4.71e-06,0.121,0.4,159.98,196180,4
1tkg4EHVoqnhR6iFEXb60y,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,4
3XOalgusokruzA5ZBA2Qcb,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,136267,1
40iJIUlhi6renaREYGeIDS,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,291175,4
39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,165978,4
6iaSML1PIYq936g62BDtBq,0.623,0.692,2,-5.122,1,0.0504,0.328,0.0,0.153,0.566,79.899,240051,4
19gEmPjfqSZT0ulDRfjl0m,0.794,0.51,9,-7.314,1,0.42,0.0505,1.81e-06,0.0562,0.18,167.879,194561,4
2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,180522,4
4mHgYpuGHu99Mw69E83CP2,0.767,0.538,0,-6.044,0,0.052,0.68,0.0,0.192,0.343,81.031,121680,4
2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,242966,4
4dVpf9jZjcORqGTLUaeYj9,0.797,0.844,11,-5.482,1,0.275,0.0651,0.0,0.087,0.52,170.142,173600,4
3eekarcy7kvN4yt5ZFzltW,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
5BJMeoCXXgbRAWfp6fTulr,0.894,0.511,2,-4.768,1,0.421,0.0251,0.0,0.14,0.567,120.077,176632,4
1lOe9qE0vR9zwWQAOk6CoO,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240,4
6ya8ejoKgw906Y8LWclqrp,0.671,0.833,5,-5.152,0,0.395,0.0825,0.0,0.0726,0.702,79.351,233278,4
73xjJ1TIE6WP3HNKczQE4F,0.925,0.322,11,-9.8,0,0.112,0.103,0.0,0.137,0.712,129.957,170233,4
7FGdjbZ32vMybPuP0IuE7d,0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933,184490,4
2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,213594,4
6nO3tr47nr2P7f3hXb8JIo,0.642,0.782,5,-3.395,0,0.0477,0.381,0.0,0.108,0.396,162.005,195053,4
6uFn47ACjqYkc0jADwEdj1,0.772,0.639,1,-7.119,1,0.467,0.15,0.0,0.0698,0.261,168.112,166560,4
0S0vWvyZ6Rc79TXkWxT9QA,0.534,0.583,2,-8.672,1,0.0288,0.0262,0.0,0.421,0.145,106.0,231547,4
74lnM5V6ecvoTPV0fvptx9,0.808,0.617,10,-9.32,0,0.442,0.113,0.0,0.734,0.632,149.962,166400,4
1M6SuEJZJkZf2S419vIPkB,0.931,0.387,1,-9.127,1,0.412,0.088,0.0,0.136,0.375,125.978,179405,4
1Y5Jvi3eLi4Chwqch9GMem,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,200548,4
285pBltuF7vW8TeWk8hdRR,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
1C8ux1YWLMHCenYJFiIV4Z,0.883,0.808,1,-3.158,0,0.182,0.0313,0.0,0.207,0.806,119.01,232065,4
3wdnX9UwfyXkNq0FJVhQQD,0.943,0.443,7,-10.098,0,0.138,0.188,0.00225,0.282,0.621,109.908,183307,4
40yJGQyEaBbIkXpwMFkXip,0.764,0.475,0,-12.618,1,0.114,0.345,0.0,0.14,0.34,129.974,243270,4
1nX9KhK3Fff27SnrIor2Yb,0.796,0.5,1,-7.21,1,0.425,0.118,0.0,0.155,0.227,75.012,255560,4
1wJRveJZLSb1rjhnUHQiv6,0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023,189487,4
4qKcDkK6siZ7Jp1Jb4m0aL,0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,181263,4
6xbraxG0bSBOuAr5IUXmtM,0.723,0.654,0,-6.82,1,0.298,0.384,0.0,0.384,0.675,149.949,252240,4
3j84U36KvLeXNDPv4t5pI8,0.682,0.559,0,-5.545,1,0.127,0.174,0.0,0.344,0.137,202.015,192471,4
25oOaleife6E2MIKmFkPvg,0.842,0.597,2,-6.336,1,0.0627,0.00252,0.0,0.124,0.298,145.992,215307,4
1Z0cZI0UzNbP9L8MzzGxqf,0.867,0.744,2,-5.171,1,0.227,0.268,0.0,0.0713,0.645,84.005,173288,4
4XvcHTUfIlWfyJTRG0aqlo,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,123987,4
6Gg1gjgKi2AK4e0qzsR7sd,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,4
0WSEq9Ko4kFPt8yo3ICd6T,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,0.212,118.029,226653,4
59nOXPmaKlBfGMDeOVGrIK,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,189893,4
3oDkdAySo1VQQG0ptV7uwa,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935,175755,4
5GBuCHuPKx6UC7VsSPK0t3,0.906,0.382,10,-12.89,0,0.269,0.18,0.0,0.113,0.391,104.025,129264,4
7KyTq7H5f3Oavmuo9TX6QK,0.664,0.704,8,-6.859,0,0.0974,0.0233,0.0,0.112,0.633,147.067,196336,4
1jk9c0gZI0wbn5GvAj7PBV,0.667,0.581,0,-5.164,0,0.323,0.0428,0.0,0.183,0.368,110.953,230693,4
4Iy73U3ZqfhF1cxPDRSMKp,0.793,0.366,7,-10.051,1,0.136,0.0214,0.0,0.0964,0.278,122.991,159522,4
4S8d14HvHb70ImctNgVzQQ,0.901,0.522,2,-8.304,1,0.33,0.0114,0.0,0.259,0.329,104.053,127947,4
27NovPIUIRrOZoCHxABJwK,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,4
7eBqSVxrzQZtK2mmgRG6lC,0.759,0.73,0,-7.985,0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,268434,4
2cYqizR4lgvp4Qu6IQ3qGN,0.763,0.628,11,-5.85,1,0.05,0.0531,0.0,0.114,0.193,140.958,190557,4
4Q3N4Ct4zCuIHuZ65E3BD4,0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,268187,4
3wGXyJGsCf1myH5MooQIqE,0.766,0.606,9,-6.064,1,0.456,0.00266,0.0,0.166,0.352,160.223,140000,4
0k1WUmIRnG3xU6fvvDVfRG,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,4
6mapJIPnQ23RTAevUoE0DL,0.681,0.314,8,-9.319,1,0.0581,0.2,9.82e-06,0.1,0.166,139.992,208120,4
5gQcxYXqnofyocKgEbGYKt,0.864,0.664,8,-7.315,1,0.104,0.0476,0.0,0.0863,0.381,94.932,99108,4
6V7g6qM8wheMivMWrzbPTM,0.792,0.743,7,-2.806,1,0.0851,0.107,0.0,0.183,0.742,150.024,195637,4
65OVbaJR5O1RmwOQx0875b,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956,4
